epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,15.3739,3.78233,7.31312,0.02732,0,0,0,0,4.00477,7.8103,0.02603,0.00018,6e-05,0.00018,6e-05,0.00018,6e-05,0.00018,6e-05
2,29.9589,3.72708,7.20443,0.02733,0,0,0,0,3.74988,7.58193,0.02253,0.000415842,0.000138614,0.000415842,0.000138614,0.000415842,0.000138614,0.000415842,0.000138614
3,44.1656,3.51466,7.27314,0.01832,0,0,0,0,3.50532,7.37626,0.02016,0.000646932,0.000215644,0.000646932,0.000215644,0.000646932,0.000215644,0.000646932,0.000215644
4,58.5629,3.07193,6.93987,0.01739,0,0,0,0,2.95909,6.95547,0.0159,0.00087327,0.00029109,0.00087327,0.00029109,0.00087327,0.00029109,0.00087327,0.00029109
5,74.789,2.95475,6.85607,0.01584,0,0,0,0,2.28243,6.50481,0.01168,0.00109486,0.000364952,0.00109486,0.000364952,0.00109486,0.000364952,0.00109486,0.000364952
6,90.7356,2.56144,6.5199,0.01341,0,0,0,0,1.97589,6.32364,0.01016,0.00131169,0.00043723,0.00131169,0.00043723,0.00131169,0.00043723,0.00131169,0.00043723
7,105.778,2.62046,6.59774,0.01314,0,0,0,0,1.6761,6.15436,0.00829,0.00152377,0.000507924,0.00152377,0.000507924,0.00152377,0.000507924,0.00152377,0.000507924
8,120.747,1.98222,6.14436,0.01029,0,0,0,0,1.50719,6.05428,0.00729,0.0017311,0.000577034,0.0017311,0.000577034,0.0017311,0.000577034,0.0017311,0.000577034
9,134.626,2.39446,6.27164,0.01445,0,0,0,0,1.38541,5.98508,0.00653,0.00193368,0.00064456,0.00193368,0.00064456,0.00193368,0.00064456,0.00193368,0.00064456
10,148.527,1.80437,5.91246,0.00943,0,0,0,0,1.23096,5.90763,0.00571,0.00213151,0.000710502,0.00213151,0.000710502,0.00213151,0.000710502,0.00213151,0.000710502
11,161.924,1.90979,5.98243,0.00919,0,0,0,0,1.22578,5.88783,0.00569,0.00232458,0.00077486,0.00232458,0.00077486,0.00232458,0.00077486,0.00232458,0.00077486
12,175.384,2.34084,6.10791,0.01008,0,0,0,0,1.29778,5.90148,0.00595,0.0025129,0.000837634,0.0025129,0.000837634,0.0025129,0.000837634,0.0025129,0.000837634
13,193.217,1.65298,5.67941,0.00817,0,0,0,0,1.20099,5.83407,0.0054,0.00269647,0.000898824,0.00269647,0.000898824,0.00269647,0.000898824,0.00269647,0.000898824
14,210.315,1.75955,5.63665,0.00935,0,0,0,0,1.15624,5.7465,0.00516,0.00287529,0.00095843,0.00287529,0.00095843,0.00287529,0.00095843,0.00287529,0.00095843
15,225.908,1.58902,5.42348,0.00758,0,0,0,0,1.09154,5.63723,0.00483,0.00304936,0.00101645,0.00304936,0.00101645,0.00304936,0.00101645,0.00304936,0.00101645
16,240.401,1.30566,5.13609,0.00692,0,0,0,0,1.09154,5.63723,0.00483,0.00321867,0.00107289,0.00321867,0.00107289,0.00321867,0.00107289,0.00321867,0.00107289
